# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF18abdrnrd 255.090277 -20.892719   0.966040  12.989886
ZTF18abecbgz 315.672939  54.721845  93.753049   5.376577
ZTF18abeechv 259.012081  29.460161  52.123704  32.517635
ZTF18abeoxti 260.388526 -18.719319   5.685172  10.127124
ZTF18abeqjhx 278.854165  -6.019851  25.749872   0.802259
ZTF18abesjel 306.662430  47.474006  84.532726   5.351163
ZTF18abetcrn 262.014095  25.847301  48.983291  28.934807
ZTF18abetddh 266.809779  15.013193  39.616085  20.841002
ZTF18abffzyg 268.160263   7.551274  33.066739  16.486754
ZTF18abfgyjt 278.748002  54.554166  83.606693  24.109323
ZTF18abfhssx 297.111168  59.552848  92.139030  16.384103
ZTF18abflqfh  19.301558  58.467862 126.305036  -4.235021
ZTF18abfmuvj 268.377040  20.635288  45.796119  21.653249
ZTF18abfwukx 261.600408  36.418408  60.727223  32.031300
ZTF18abfxhyn 281.553647  12.874750  43.860136   6.971446
ZTF18abfyqzo  17.781545  59.714029 125.415469  -3.062747
ZTF18abfyzmf 216.450311  15.250344   9.285377  65.070685
ZTF18abgjgyt   5.039667  51.320291 117.958282 -11.249143
ZTF18abgjrmo 287.843302  33.845580  65.504379  10.938075
ZTF18abgopgb  16.766172  42.719995 125.986508 -20.059054
ZTF18abgpmcd 333.241551  49.112307  98.117579  -5.971764
ZTF18abgrzbs   8.266530  38.018138 118.949820 -24.711521
ZTF18abgtjea 359.890176  56.083755 115.697446  -6.057586
ZTF18abgtrkj  18.157173  61.459843 125.460898  -1.307809
ZTF18abgxyfz 288.872866  31.664439  63.894652   9.207430
ZTF18abgyrha 305.548500  31.818318  71.211306  -2.940472
ZTF18abhpycx 310.737313  23.879577  67.418789 -11.299367
ZTF18abhxhup 278.013844  -9.238502  22.509687   0.057170
ZTF18abhxptl 286.798843   1.095941  35.706674  -3.004260
ZTF18abhypsw  13.040035  43.938918 123.069370 -18.932639
ZTF18abidnmb 303.811406  36.989985  74.679957   1.155060
ZTF18abigrzf 335.436558  18.668902  80.417035 -31.577696
ZTF18abihaqc 330.468376  48.205720  96.092200  -5.630575
ZTF18abihypg 322.092487  63.432550 102.399934   8.979440
ZTF18abijvqm 278.428460  10.507339  40.351674   8.670990
ZTF18abikpuh 292.990303  20.508808  55.697654   0.752374
ZTF18abikzev 310.376672  48.225808  86.623796   3.791738
ZTF18abindde 287.060830 -13.740200  22.466903  -9.883260
